epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12339.2,1.46691,0.82784,1.13371,0.89603,0.89001,0.94271,0.58327,1.37309,0.72832,1.07492,0.000506352,0.000506352,0.000506352
43,12630,1.46646,0.82996,1.13148,0.89736,0.89038,0.94058,0.59161,1.34274,0.73975,1.06296,0.000487732,0.000487732,0.000487732
44,12922.9,1.46736,0.82618,1.12981,0.89006,0.89562,0.94238,0.59403,1.343,0.73107,1.06301,0.00046917,0.00046917,0.00046917
45,13211.9,1.45308,0.81614,1.12238,0.89338,0.89079,0.94122,0.58523,1.35849,0.74275,1.06946,0.000450694,0.000450694,0.000450694
46,13502.5,1.44718,0.80817,1.12223,0.89764,0.89005,0.94242,0.58933,1.34399,0.7373,1.06256,0.000432332,0.000432332,0.000432332
47,13801.5,1.43768,0.80423,1.12085,0.90356,0.89912,0.94729,0.59908,1.33368,0.72031,1.06076,0.000414113,0.000414113,0.000414113
48,14082.7,1.43989,0.80184,1.1162,0.90429,0.8996,0.94873,0.60836,1.30403,0.70338,1.04831,0.000396066,0.000396066,0.000396066
49,14364.2,1.4348,0.80327,1.11609,0.90249,0.89776,0.9486,0.60129,1.32388,0.70785,1.054,0.000378217,0.000378217,0.000378217
50,14663.9,1.42924,0.80176,1.12107,0.89933,0.90027,0.94792,0.60523,1.3043,0.71766,1.04846,0.000360594,0.000360594,0.000360594
51,14958.8,1.42566,0.79281,1.11425,0.90158,0.89234,0.94686,0.59719,1.33745,0.7252,1.06106,0.000343225,0.000343225,0.000343225
52,15246.7,1.42222,0.79029,1.11006,0.91039,0.89919,0.95208,0.60714,1.31462,0.69989,1.05198,0.000326137,0.000326137,0.000326137
53,15535.9,1.41495,0.78525,1.10763,0.9082,0.89954,0.95159,0.60919,1.30246,0.6924,1.0486,0.000309355,0.000309355,0.000309355
